nom,name,an2014,dif2014,sco2014,an2013,sco2013,an2012,iso,capitale,latitude,longitude
Afghanistan,Afghanistan,128,(+ 1),37.07,128,37.36,150,AFG,Kabul,34.28N,69.11E
Afrique du Sud,South Africa,42,(+ 11),23.19,52,24.56,42,ZAF,Pretoria,25.44S,28.12E
Albanie,Albania,85,(+ 18),29.92,102,30.88,96,ALB,Tirane,41.18N,19.49E
Algérie,Algeria,121,(+ 5),36.26,125,36.54,122,DZA,Algiers,36.42N,03.08E
Allemagne,Germany,14,(+ 3),10.23,17,10.24,16,DEU,Berlin,52.30N,13.25E
Andorre,Andorra,5,( - ),6.82,5,6.82,-,AND,Andorra la Vella,42.31N,1.32E
Angola,Angola,124,(+ 7),36.5,130,37.8,132,AGO,Luanda,08.50S,13.15E
Arabie saoudite,Saudi Arabia,164,( - ),58.3,163,56.88,158,SAU,Riyadh,24.41N,46.42E
Argentine,Argentina,55,( - ),25.27,54,25.67,47,ARG,Buenos Aires,36.30S,60.00W
Arménie,Armenia,78,(- 3),29.07,74,28.04,77,ARM,Yerevan,40.10N,44.31E
Australie,Australia,28,(- 2),16.91,26,15.24,30,AUS,Canberra,35.15S,149.08E
Autriche,Austria,12,( - ),10.01,12,9.4,5,AUT,Vienna,48.12N,16.22E
Azerbaïdjan,Azerbaijan,160,(- 3),52.87,156,47.73,162,AZE,Baku,40.29N,49.56E
Bahreïn,Bahrain,163,(+ 3),58.26,165,62.75,173,BHR,Manama,26.10N,50.30E
Bangladesh,Bangladesh,146,(- 1),42.58,144,42.01,129,BGD,Dhaka,23.43N,90.26E
Bélarus,Belarus,157,(+ 1),47.82,157,48.35,168,BLR,Minsk,53.52N,27.30E
Belgique,Belgium,23,(- 2),12.8,21,12.94,20,BEL,Brussels,50.51N,04.21E
Bélize,Belize,29,( - ),17.05,-,,-,BLZ,Belmopan,17.15N,88.46W
Bénin,Benin,75,(+ 5),28.83,79,28.33,91,BEN,Porto Novo,06.23N,02.42E
Bhoutan,Bhutan,92,(- 9),30.73,82,28.42,70,BTN,Thimphu,27.31N,89.45E
Birmanie,Myanmar,145,(+ 7),41.43,151,44.71,169,MMR,Yangon,16.45N,96.20E
Bolivie,Bolivia,94,(+ 16),31.04,109,32.8,108,BOL,La Paz,16.20S,68.10W
Bosnie-Herzégovine,Bosnia and Herzegovina,66,(+ 3),26.86,68,26.86,58,BIH,Sarajevo,43.52N,18.26E
Botswana,Botswana,41,( - ),22.91,40,22.91,42,BWA,Gaborone,24.45S,25.57E
Brésil,Brazil,111,(- 2),34.03,108,32.75,99,BRA,Brasilia,15.47S,47.55W
Brunei,Brunei Darussalam,117,(+ 6),35.45,122,35.45,125,BRN,Bandar Seri Begawan,04.52N,115.00E
Bulgarie,Bulgaria,100,(- 12),31.42,87,28.58,80,BGR,Sofia,42.45N,23.20E
Burkina Faso,Burkina Faso,52,(- 5),24.45,46,23.7,68,BFA,Ouagadougou,12.15N,01.30W
Burundi,Burundi,142,(- 9),40.5,132,38.02,130,BDI,Bujumbura,03.16S,29.18E
Cambodge,Cambodia,144,( - ),40.97,143,41.81,117,KHM,Phnom Penh,11.33N,104.55E
Cameroun,Cameroon,131,(- 10),38.13,120,34.78,97,CMR,Yaounde,03.50N,11.35E
Canada,Canada,18,(+ 2),10.99,20,12.69,10,CAN,Ottawa,45.27N,75.42W
