"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","870","920","920","1020","1080","1230","1270","1500","1610","1700","1930","",
"Angola","AGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2190","2190","1520","1140","910","1530","1800","2050","2100","2020","2190","2290","2690","2820","3080","3570","4260","5320","5720","6200","6230","6270","6720","",
"Albania","ALB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2710","1930","1800","2100","2370","2810","3150","2890","3290","3670","4080","4530","4730","5140","5610","6120","6920","7380","8350","8690","8480","9070","9280","",
"Arab World","ARB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6727.21190671893","7083.32265232584","7386.46451524583","7531.77771076882","7666.34418464258","7834.36852394574","8123.99978444889","8394.92931023885","8684.13018590185","8733.11039990623","9080.70994798134","9354.49460924345","9408.56412060269","9993.36305922901","10784.6264397481","11582.8555643308","12581.4456436321","13268.7100702275","14018.2631998003","14020.4994202826","14522.0332421101","15152.2264757095","","",
"United Arab Emirates","ARE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90860","88250","92890","96800","93410","90460","81540","71660","60590","56260","56390","58090","",
"Argentina","ARG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2330","2230","1130","1180","1420","1580","1780","1960","2080","2190","2380","2690","3120","3630","4120","4850","5720","6680","7390","6280","6620","7180","7780","",
"American Samoa","ASM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9670","10530","10790","11630","12270","11680","12010","13030","13440","13820","14240","14240","14380","15560","16530","18070","20940","23310","23400","20550","19240","18740","19320","",
